epoch,training_accuracy,learnable_threshold,Validation_accuracy,Best_accuracy
1.0,40.8585,1.1394,48.5887,48.5887
2.0,54.8599,1.3417,57.3589,57.3589
2.0,54.8599,1.3417,57.3589,57.3589
3.0,64.2682,1.5952,57.2581,57.3589
3.0,64.2682,1.5952,57.2581,57.3589
4.0,70.2625,1.8745,63.4073,63.4073
4.0,70.2625,1.8745,63.4073,63.4073
5.0,75.6561,2.1702,65.625,65.625
5.0,75.6561,2.1702,65.625,65.625
6.0,80.4382,2.4787,67.5403,67.5403
6.0,80.4382,2.4787,67.5403,67.5403
7.0,84.4084,2.7956,72.379,72.379
7.0,84.4084,2.7956,72.379,72.379
8.0,87.4889,3.1204,72.6815,72.6815
8.0,87.4889,3.1204,72.6815,72.6815
9.0,90.4471,3.4421,73.3871,73.3871
9.0,90.4471,3.4421,73.3871,73.3871
10.0,92.7825,3.7591,73.1855,73.3871
10.0,92.7825,3.7591,73.1855,73.3871
11.0,94.8621,4.0603,72.4798,73.3871
11.0,94.8621,4.0603,72.4798,73.3871
12.0,96.3523,4.3486,72.7823,73.3871
12.0,96.3523,4.3486,72.7823,73.3871
13.0,97.4755,4.6209,72.8831,73.3871
13.0,97.4755,4.6209,72.8831,73.3871
14.0,97.9204,4.8811,72.9839,73.3871
14.0,97.9204,4.8811,72.9839,73.3871
15.0,98.6655,5.1286,71.9758,73.3871
15.0,98.6655,5.1286,71.9758,73.3871
16.0,99.0658,5.3625,74.8992,74.8992
16.0,99.0658,5.3625,74.8992,74.8992
17.0,99.1103,5.5908,73.3871,74.8992
17.0,99.1103,5.5908,73.3871,74.8992
18.0,99.4551,5.8103,75.1008,75.1008
18.0,99.4551,5.8103,75.1008,75.1008
19.0,99.6108,6.0211,73.4879,75.1008
19.0,99.6108,6.0211,73.4879,75.1008
20.0,99.6219,6.2292,73.2863,75.1008
20.0,99.6219,6.2292,73.2863,75.1008
21.0,99.6886,6.4298,74.496,75.1008
21.0,99.6886,6.4298,74.496,75.1008
22.0,99.722,6.6303,74.2944,75.1008
22.0,99.722,6.6303,74.2944,75.1008
23.0,99.7776,6.8295,72.8831,75.1008
23.0,99.7776,6.8295,72.8831,75.1008
24.0,99.7887,7.019,74.0927,75.1008
24.0,99.7887,7.019,74.0927,75.1008
25.0,99.8665,7.2084,74.3952,75.1008
25.0,99.8665,7.2084,74.3952,75.1008
26.0,99.7887,7.3956,74.6976,75.1008
26.0,99.7887,7.3956,74.6976,75.1008
27.0,99.8221,7.5788,73.5887,75.1008
27.0,99.8221,7.5788,73.5887,75.1008
28.0,99.8443,7.763,73.0847,75.1008
28.0,99.8443,7.763,73.0847,75.1008
